PERMNO,date,VOL,PRC,OPENPRC
86165,6/11/2007,620420,1331.373373,1327.173457
86165,6/12/2007,786485,1313.52373,1330.323394
86165,6/13/2007,585336,1312.473751,1303.02394
86165,6/14/2007,554325,1318.773625,1312.473751
86165,6/15/2007,690340,1337.673247,1337.673247
86165,6/18/2007,846310,1339.773205,1359.722806
86165,6/19/2007,626647,1327.173457,1343.973121
86165,6/20/2007,1703405,1296.724066,1324.02352
86165,6/21/2007,1076275,1286.224276,1309.323814
86165,6/22/2007,3508522,1347.123058,1298.824024
86165,6/25/2007,706759,1334.52331,1362.872743
86165,6/26/2007,541381,1326.123478,1335.573289
86165,6/27/2007,448717,1322.973541,1304.073919
86165,6/28/2007,1137494,1353.422932,1322.973541
86165,6/29/2007,1169381,1385.972281,1364.972701
86165,7/2/2007,926727,1419.571609,1382.822344
86165,7/3/2007,536981,1430.071399,1426.921462
86165,7/5/2007,2227076,1527.719446,1454.220916
86165,7/6/2007,601866,1515.119698,1528.769425
86165,7/9/2007,1161127,1560.258295,1545.569089
86165,7/10/2007,771283,1532.969341,1555.0189
86165,7/11/2007,369194,1528.769425,1542.419152
86165,7/12/2007,672804,1516.169677,1531.919362
86165,7/13/2007,666238,1485.720286,1509.869803
86165,7/16/2007,399966,1469.970601,1469.970601
86165,7/17/2007,418259,1461.570769,1475.220496
86165,7/18/2007,822514,1432.171357,1459.470811
86165,7/19/2007,736435,1410.121798,1417.471651
86165,7/20/2007,838610,1404.871903,1423.771525
86165,7/23/2007,872752,1399.622008,1394.372113
86165,7/24/2007,629262,1375.472491,1391.222176
86165,7/25/2007,500649,1353.422932,1376.52247
86165,7/26/2007,848133,1339.773205,1343.973121
86165,7/27/2007,521943,1293.574129,1330.323394
86165,7/30/2007,573472,1313.52373,1290.424192
86165,7/31/2007,504902,1319.823604,1322.973541
86165,8/1/2007,666956,1311.423772,1292.52415
86165,8/2/2007,619279,1311.423772,1312.473751
86165,8/3/2007,611971,1262.074759,1307.223856
86165,8/6/2007,1497166,1214.825703,1263.124738
86165,8/7/2007,1170327,1262.074759,1204.325913
86165,8/8/2007,1632726,1340.823184,1311.423772
86165,8/9/2007,1488073,1364.972701,1338.723226
86165,8/10/2007,824069,1346.073079,1312.473751
86165,8/13/2007,446270,1325.073499,1364.972701
86165,8/14/2007,626955,1314.573709,1322.973541
86165,8/15/2007,396103,1289.374213,1306.173877
86165,8/16/2007,1151250,1220.075598,1259.974801
86165,8/17/2007,1035396,1241.075178,1286.224276
86165,8/20/2007,446484,1247.375052,1247.375052
86165,8/21/2007,330407,1243.175136,1236.875262
86165,8/22/2007,631038,1257.874843,1248.425031
86165,8/23/2007,370466,1229.525409,1249.47501
86165,8/24/2007,285206,1229.525409,1223.225535
86165,8/27/2007,421247,1219.025619,1223.225535
86165,8/28/2007,432182,1199.076018,1215.875682
86165,8/29/2007,341130,1195.926081,1195.926081
86165,8/30/2007,557446,1208.525829,1233.725325
86165,8/31/2007,318210,1213.775724,1223.225535
86165,9/4/2007,787619,1245.275094,1213.775724
86165,9/5/2007,460858,1219.697606,1241.075178
86165,9/6/2007,442820,1250.52499,1217.97564
86165,9/7/2007,567842,1203.275934,1237.925241
86165,9/10/2007,256314,1191.726165,1203.275934
86165,9/11/2007,503376,1191.726165,1191.726165
86165,9/12/2007,725459,1165.47669,1185.426291
86165,9/13/2007,361506,1161.276774,1156.026879
86165,9/14/2007,521214,1130.827383,1156.026879
86165,9/17/2007,635635,1093.028139,1114.027719
86165,9/18/2007,560635,1130.827383,1090.928181
86165,9/19/2007,870899,1172.826543,1135.027299
86165,9/20/2007,1386222,1074.128517,1120.327593
86165,9/21/2007,1603454,1043.679126,1069.928601
86165,9/24/2007,2062816,965.9806804,1020.579588
86165,9/25/2007,1238938,900.8819824,934.4813104
86165,9/26/2007,1659411,913.4817304,900.8819824
86165,9/27/2007,2404046,995.3800924,921.8815624
86165,9/28/2007,2225761,1010.079798,986.9802604
86165,10/1/2007,874381,967.0201596,984.8803024
86165,10/2/2007,884223,934.4813104,963.8807224
86165,10/3/2007,786220,919.7816044,936.5812684
86165,10/4/2007,1232686,976.4804704,925.0314994
86165,10/5/2007,665031,956.5308694,984.8803024
86165,10/8/2007,368927,942.8811424,950.2309954
86165,10/9/2007,641209,993.2801344,941.8311634
86165,10/10/2007,780894,979.6304074,997.4800504
86165,10/11/2007,726621,988.0302394,979.6304074
86165,10/12/2007,636128,948.1310374,995.3800924
86165,10/15/2007,505860,943.9311214,951.2809744
86165,10/16/2007,515897,940.7811844,944.9811004
86165,10/17/2007,473847,932.3813524,955.4808904
86165,10/18/2007,633634,927.1314574,926.0814784
86165,10/19/2007,1121851,866.2326753,914.5317094
86165,10/22/2007,689951,851.5329693,856.7828643
86165,10/23/2007,640815,834.7333053,854.6829063
86165,10/24/2007,478588,808.4838303,829.4834103
86165,10/25/2007,699025,790.6341873,807.4338513
86165,10/26/2007,922271,797.9840403,794.8341033
86165,10/29/2007,715953,823.1835363,813.7337253
86165,10/30/2007,506756,813.7337253,825.2834943
86165,10/31/2007,755906,843.1331373,811.6337673
86165,11/1/2007,614723,788.5342293,837.8832423
86165,11/2/2007,801543,842.0831583,805.3338933
86165,11/5/2007,491396,843.1331373,823.1835363
86165,11/6/2007,658730,836.8332633,837.8832423
86165,11/7/2007,523669,831.5833683,846.2830743
86165,11/8/2007,904410,821.0835783,829.4834103
86165,11/9/2007,1187181,723.4355313,787.4842503
86165,11/12/2007,808624,683.5363293,765.4346913
86165,11/13/2007,816170,673.0365393,680.3863923
86165,11/14/2007,848309,648.8870223,671.9865603
86165,11/15/2007,1054339,612.1377572,640.4871903
86165,11/16/2007,878324,598.4880302,617.3876522
86165,11/19/2007,2172596,465.1406972,577.4884502
86165,11/20/2007,1446190,495.5900882,472.4905502
86165,11/21/2007,784054,451.4909702,485.0902982
86165,11/23/2007,323835,443.0911382,451.4909702
86165,11/26/2007,1057559,489.2902142,457.7908442
86165,11/27/2007,1196124,487.1902562,501.8899622
86165,11/28/2007,634801,492.4401512,493.4901302
86165,11/29/2007,1705074,695.0860983,488.2402352
86165,11/30/2007,2389507,641.5371693,661.4867703
86165,12/3/2007,1125154,600.5879882,646.7870643
86165,12/4/2007,571648,603.7379252,592.1881562
86165,12/5/2007,783688,590.0881982,617.3876522
86165,12/6/2007,1002698,633.1373373,590.0881982
86165,12/7/2007,882509,641.5371693,631.0373793
86165,12/10/2007,653875,628.9374213,619.4876102
86165,12/11/2007,1231576,671.5875682,637.3372533
86165,12/12/2007,778661,666.7366653,682.4863503
86165,12/13/2007,582176,634.1873163,673.0365393
86165,12/14/2007,1156139,695.0860983,671.9865603
86165,12/17/2007,1774565,744.4351113,698.2360353
86165,12/18/2007,1771190,811.6337673,787.4842503
86165,12/19/2007,5048211,960.7307854,839.9832003
86165,12/20/2007,3236357,959.6808064,982.7803444
86165,12/21/2007,2098147,936.5812684,991.1801764
86165,12/24/2007,790132,927.1314574,932.3813524
86165,12/26/2007,825350,913.4817304,927.1314574
86165,12/27/2007,1475760,913.4817304,894.5821084
86165,12/28/2007,1184662,904.0319194,913.4817304
86165,12/31/2007,1423571,862.0327593,905.0818984
86165,1/2/2008,727940,852.5829483,891.4321714
86165,1/3/2008,1431218,926.0814784,847.3330533
86165,1/4/2008,1198497,929.2314154,927.1314574
86165,1/7/2008,890051,860.9827803,934.4813104
86165,1/8/2008,916055,814.7837043,855.7328853
86165,1/9/2008,834548,792.7341453,820.0335993
86165,1/10/2008,678427,753.8849223,787.4842503
86165,1/11/2008,825018,728.6854263,743.3851323
86165,1/14/2008,597825,745.4850903,739.1852163
86165,1/15/2008,638201,697.1860563,734.9853003
86165,1/16/2008,1047987,645.7370853,682.4863503
86165,1/17/2008,628666,579.5884082,640.4871903
86165,1/18/2008,554011,573.2885342,578.5384292
86165,1/22/2008,1104726,524.9895002,506.0898782
86165,1/23/2008,769000,557.5388492,535.4892902
86165,1/24/2008,713948,563.8387232,561.7387652
86165,1/25/2008,608009,562.7887442,581.6883662
86165,1/28/2008,697894,592.1881562,556.4888702
86165,1/29/2008,793771,584.8383032,623.6875262
86165,1/30/2008,1354499,652.0369593,629.9874003
86165,1/31/2008,724103,637.3372533,663.5867283
86165,2/1/2008,795954,605.8378832,634.1873163
86165,2/4/2008,910783,639.4372113,640.4871903
86165,2/5/2008,997056,662.5367493,650.9869803
86165,2/6/2008,534239,659.3868123,662.5367493
86165,2/7/2008,339877,634.1873163,649.9370013
86165,2/8/2008,387332,617.3876522,629.9874003
86165,2/11/2008,370290,626.8374633,624.7375052
86165,2/12/2008,400303,605.8378832,623.6875262
86165,2/13/2008,393084,647.8370433,606.8878622
86165,2/14/2008,430058,617.3876522,647.8370433
86165,2/15/2008,267848,611.0877782,611.0877782
86165,2/19/2008,349686,634.1873163,637.3372533
86165,2/20/2008,323802,625.7874843,639.4372113
86165,2/21/2008,480278,615.2876942,638.3872323
86165,2/22/2008,615762,578.5384292,624.7375052
86165,2/25/2008,390152,608.9878202,577.4884502
86165,2/26/2008,461633,590.0881982,600.5879882
86165,2/27/2008,306730,583.7883242,589.0382192
86165,2/28/2008,422446,560.6887862,590.0881982
86165,2/29/2008,681576,518.6896262,556.4888702
86165,3/3/2008,398581,510.2897942,519.7396052
86165,3/4/2008,550683,481.9403612,521.8395632
86165,3/5/2008,647708,500.850483,520.7895842
86165,3/6/2008,490029,446.2410752,489.2902142
86165,3/7/2008,514133,473.5405292,471.4405712
86165,3/10/2008,364216,491.3901722,475.6404872
86165,3/11/2008,493744,482.9903402,485.0902982
86165,3/12/2008,1127023,549.1390172,482.9903402
86165,3/13/2008,393817,563.8387232,541.7891642
86165,3/14/2008,542585,498.7400252,564.8887022
86165,3/17/2008,560310,450.4409912,480.8903822
86165,3/18/2008,467541,519.7396052,496.6400672
86165,3/19/2008,1175094,454.6409072,468.2906342
86165,3/20/2008,1239183,474.5905082,598.4880302
86165,3/24/2008,451519,518.6896262,477.7404452
86165,3/25/2008,669937,480.8903822,522.8895422
86165,3/26/2008,429652,475.6404872,477.7404452
86165,3/27/2008,1101270,470.3905922,480.8903822
86165,3/28/2008,923142,509.2398152,482.9903402
86165,3/31/2008,638502,461.9907602,484.0403192
86165,4/1/2008,403195,480.8903822,470.3905922
86165,4/2/2008,328576,468.2906342,472.4905502
86165,4/3/2008,299163,459.8908022,469.3406132
86165,4/4/2008,248654,471.4405712,457.7908442
86165,4/7/2008,675127,456.7408652,472.4905502
86165,4/8/2008,254332,450.4409912,449.3910122
86165,4/9/2008,787831,447.2910542,450.4409912
86165,4/10/2008,356004,440.9911802,447.2910542
86165,4/11/2008,424346,421.0415792,437.8412432
86165,4/14/2008,720382,395.8420832,424.1915162
86165,4/15/2008,988308,372.7425451,396.8920622
86165,4/16/2008,652981,377.9924402,372.7425451
86165,4/17/2008,589889,379.0424192,383.2423352
86165,4/18/2008,401914,381.1423772,380.0923982
86165,4/21/2008,395298,380.0923982,370.6425871
86165,4/22/2008,777995,349.6430071,377.9924402
86165,4/23/2008,650609,334.9433011,359.0928181
86165,4/24/2008,532973,338.0932381,332.8433431
86165,4/25/2008,1639480,413.6917262,335.9932801
86165,4/28/2008,870669,390.5921882,415.7916842
86165,4/29/2008,644535,364.3427131,380.0923982
86165,4/30/2008,581698,360.1427971,369.5926081
86165,5/1/2008,624882,346.4930701,361.1927761
86165,5/2/2008,736641,365.3926921,348.5930281
86165,5/5/2008,727653,356.9928601,373.7925241
86165,5/6/2008,558437,346.4930701,355.9428811
86165,5/7/2008,576317,333.8933221,345.4430911
86165,5/8/2008,407014,328.6434271,333.8933221
86165,5/9/2008,411312,338.0932381,329.6934061
86165,5/12/2008,505687,341.2431751,362.2427551
86165,5/13/2008,377694,331.7933641,346.4930701
86165,5/14/2008,609543,334.9433011,341.2431751
86165,5/15/2008,353214,338.0932381,334.9433011
86165,5/16/2008,496252,335.9932801,344.3931121
86165,5/19/2008,9571639,539.6892062,398.9920202
86165,5/20/2008,21299443,593.2381352,598.4880302
86165,5/21/2008,7628859,580.6383872,557.5388492
86165,5/22/2008,2872385,543.8891222,576.4384712
86165,5/23/2008,4444587,438.8912222,538.6392272
86165,5/27/2008,2463292,432.5913482,446.2410752
86165,5/28/2008,4538226,376.9424612,430.4913902
86165,5/29/2008,3955170,367.4926501,383.2423352
86165,5/30/2008,2229327,371.6925661,377.9924402
86165,6/2/2008,2100499,361.1927761,372.7425451
86165,6/3/2008,2175893,346.4930701,366.4426711
86165,6/4/2008,1888429,331.7933641,346.4930701
86165,6/5/2008,1841708,340.1931961,332.8433431
86165,6/6/2008,1376793,329.6934061,334.9433011
86165,6/9/2008,2617988,323.3935321,347.5430491
86165,6/10/2008,2311100,309.7438051,321.2935741
86165,6/11/2008,2456290,291.8941621,309.7438051
86165,6/12/2008,4518092,248.8450231,289.7942041
86165,6/13/2008,2216412,242.5451491,256.1948761
86165,6/16/2008,2065953,254.0949181,243.5951281
86165,6/17/2008,3029675,261.4447711,254.0949181
86165,6/18/2008,2353085,232.0453591,261.4447711
86165,6/19/2008,2527688,227.8454431,237.2952541
86165,6/20/2008,2862565,235.1952961,227.8454431
86165,6/23/2008,1834695,216.2956741,236.2452751
86165,6/24/2008,2162099,194.2461151,213.1457371
86165,6/25/2008,2283939,204.7459051,195.2960941
86165,6/26/2008,1524432,209.9958001,204.7459051
86165,6/27/2008,6455318,209.9958001,216.2956741
86165,6/30/2008,1704782,190.0461991,208.9458211
86165,7/1/2008,2448015,165.8966821,188.9962201
86165,7/2/2008,1775164,152.2469551,167.9966401
86165,7/3/2008,877551,154.3469131,153.2969341
86165,7/7/2008,1380714,157.4968501,166.9466611
86165,7/8/2008,1105844,161.6967661,160.6467871
86165,7/9/2008,4021582,167.9966401,158.5468291
86165,7/10/2008,1198929,166.9466611,177.4464511
86165,7/11/2008,1158001,175.3464931,164.8467031
86165,7/14/2008,966642,161.6967661,176.3964721
86165,7/15/2008,1157142,164.8467031,159.5968081
86165,7/16/2008,1332155,181.6463671,162.7467451
86165,7/17/2008,1487688,198.4460311,195.2960941
86165,7/18/2008,3625698,232.0453591,209.9958001
86165,7/21/2008,2510118,223.6455271,236.2452751
86165,7/22/2008,1881567,202.6459471,212.0957581
86165,7/23/2008,1486152,209.9958001,209.9958001
86165,7/24/2008,1070842,192.1461571,198.4460311
86165,7/25/2008,638205,195.2960941,195.2960941
86165,7/28/2008,574998,188.9962201,198.4460311
86165,7/29/2008,445849,196.3460731,191.0961781
86165,7/30/2008,689830,199.4960101,193.1961361
86165,7/31/2008,423092,196.3460731,197.3960521
86165,8/1/2008,344915,200.5459891,191.0961781
86165,8/4/2008,775855,202.6459471,200.5459891
86165,8/5/2008,793730,205.7958841,205.7958841
86165,8/6/2008,1377002,197.3960521,209.9958001
86165,8/7/2008,3332455,221.5455691,207.8958421
86165,8/8/2008,2489681,248.8450231,229.9454011
86165,8/11/2008,2664572,215.2456951,209.9958001
86165,8/12/2008,1380743,219.4456111,215.2456951
86165,8/13/2008,1019693,228.8954221,233.0953381
86165,8/14/2008,624259,228.8954221,228.8954221
86165,8/15/2008,561710,229.9454011,236.2452751
86165,8/18/2008,1094057,227.8454431,230.9953801
86165,8/19/2008,727811,219.4456111,229.9454011
86165,8/20/2008,778928,209.9958001,223.6455271
86165,8/21/2008,601948,214.1957161,212.0957581
86165,8/22/2008,435024,208.9458211,215.2456951
86165,8/25/2008,807479,215.2456951,204.7459051
86165,8/26/2008,346107,205.7958841,211.0457791
86165,8/27/2008,413126,211.0457791,204.7459051
86165,8/28/2008,295669,213.1457371,214.1957161
86165,8/29/2008,572891,216.2956741,215.2456951
86165,9/2/2008,517815,214.1957161,219.4456111
86165,9/3/2008,639072,209.9958001,213.1457371
86165,9/4/2008,309955,201.5959681,212.0957581
86165,9/5/2008,716284,184.7963041,206.8458631
86165,9/8/2008,545692,182.6963461,199.4960101
86165,9/9/2008,856255,159.5968081,180.5963881
86165,9/10/2008,1225515,148.0470391,165.8966821
86165,9/11/2008,736688,162.2217556,150.1469971
86165,9/12/2008,896585,173.2465351,162.7467451
86165,9/15/2008,564316,157.4968501,170.0965981
86165,9/16/2008,792462,166.9466611,158.5468291
86165,9/17/2008,921609,146.9970601,157.4968501
86165,9/18/2008,739618,156.4468711,146.9970601
86165,9/19/2008,1235540,156.4468711,163.7967241
86165,9/22/2008,369567,151.1969761,158.5468291
86165,9/23/2008,455687,145.9470811,151.1969761
86165,9/24/2008,495116,143.8471231,148.0470391
86165,9/25/2008,573448,146.9970601,143.8471231
86165,9/26/2008,558850,144.8971021,135.4472911
86165,9/29/2008,1386935,218.3956321,142.7971441
86165,9/30/2008,973053,145.9470811,174.2965141
86165,10/1/2008,1301793,148.0470391,146.9970601
86165,10/2/2008,788090,144.8971021,149.0970181
86165,10/3/2008,648238,134.3973121,145.9470811
86165,10/6/2008,1341970,124.947501,120.747585
86165,10/7/2008,900756,106.047879,121.797564
86165,10/8/2008,1104034,100.797984,104.9979
86165,10/9/2008,845109,90.29819404,103.947921
86165,10/10/2008,1070865,99.74800504,100.797984
86165,10/13/2008,631308,112.347753,109.197816
86165,10/14/2008,846946,90.29819404,115.49769
86165,10/15/2008,358756,89.24821504,99.74800504
86165,10/16/2008,521079,98.69802604,99.74800504
86165,10/17/2008,970590,103.947921,97.64804704
86165,10/20/2008,387984,100.797984,109.197816
86165,10/21/2008,610066,92.39815204,106.047879
86165,10/22/2008,592932,85.04829903,91.34817304
86165,10/23/2008,340712,80.84838303,85.04829903
86165,10/24/2008,404047,75.59848803,73.49853003
86165,10/27/2008,527315,68.24863503,73.49853003
86165,10/28/2008,395619,75.59848803,65.09869803
86165,10/29/2008,565313,88.19823604,75.59848803
86165,10/30/2008,399231,90.29819404,92.39815204
86165,10/31/2008,350479,94.49811004,91.45317094
86165,11/3/2008,772019,104.8929021,94.49811004
86165,11/4/2008,2199328,145.9470811,115.49769
86165,11/5/2008,1034920,116.547669,150.1469971
86165,11/6/2008,612656,99.74800504,119.697606
86165,11/7/2008,562512,113.397732,114.447711
86165,11/10/2008,665891,95.54808904,120.747585
86165,11/11/2008,644063,82.94834103,94.49811004
86165,11/12/2008,302654,74.54850903,78.74842503
86165,11/13/2008,498155,93.44813104,80.84838303
86165,11/14/2008,320995,76.64846703,88.19823604
86165,11/17/2008,190317,73.49853003,74.54850903
86165,11/18/2008,344824,69.29861403,75.59848803
86165,11/19/2008,248384,65.09869803,73.49853003
86165,11/20/2008,378234,53.54892902,68.12263755
86165,11/21/2008,459345,56.69886602,55.64888702
86165,11/24/2008,377088,59.84880302,57.74884502
86165,11/25/2008,405087,60.89878202,60.89878202
86165,11/26/2008,550184,68.24863503,59.84880302
86165,11/28/2008,263936,70.34859303,72.44855103
86165,12/1/2008,410529,54.59890802,68.24863503
86165,12/2/2008,244848,60.89878202,54.59890802
86165,12/3/2008,324527,58.79882402,57.74884502
86165,12/4/2008,319325,57.74884502,62.99874003
86165,12/5/2008,183984,60.89878202,57.74884502
86165,12/8/2008,364986,62.99874003,62.99874003
86165,12/9/2008,953332,62.99874003,68.24863503
86165,12/10/2008,237373,62.99874003,62.99874003
86165,12/11/2008,180395,57.74884502,62.99874003
86165,12/12/2008,243456,61.94876102,57.74884502
86165,12/15/2008,469220,61.94876102,57.74884502
86165,12/16/2008,383663,67.19865603,59.95380092
86165,12/17/2008,304375,65.09869803,64.04871903
86165,12/18/2008,600425,68.24863503,65.09869803
86165,12/19/2008,1855805,92.39815204,73.07853843
86165,12/22/2008,975232,85.57328853,83.99832003
86165,12/23/2008,475053,72.44855103,78.74842503
86165,12/24/2008,155197,74.54850903,77.69844603
86165,12/26/2008,195554,72.44855103,75.59848803
